,E_Equipment Serial Number,E_OEM Nameplate SN
0,G06655,G06655
1,299688,299688
2,299687,299687
3,299686,299686
4,299685,299685
5,299684,299684
6,GG679447,679447
7,GG679448,679448
8,GG671292,671292
9,GG616150,616150
10,G10764,G10764
11,G09447,G09447
12,G09928,G09928
13,G10405,G10405
14,G09950,G09950
15,G09941,G09941
16,G09938,G09938
17,G09935,G09935
18,G09932,G09932
19,G09929,G09929
20,G09947,G09947
21,G09944,G09944
22,G09943,G09943
23,G09931,G09931
24,G10555,G10555
25,G10143,G10143
26,G10554,G10554
27,G10140,G10140
28,G09937,G09937
29,G09934,G09934
30,G09940,G09940
31,G10137,G10137
32,G09949,G09949
33,G09921,G09921
34,G09946,G09946
35,G09966,G09966
36,G09749,G09749
37,G09750,G09750
38,GG641352,641352
39,GG677102,677102
40,G11295,G11295
41,G11293,G11293
42,G11291,G11291
43,G07756,G07756
44,G11447,G11447
45,G11449,G11449
46,G11451,G11451
47,G11445,G11445
48,G11365,G11365
49,G11361,G11361
50,G11347,G11347
51,G11369,G11369
52,G11367,G11367
53,G11363,G11363
54,G11345,G11345
55,GG679446,679446
56,G11423,G11423
57,G11422,G11422
58,G11421,G11421
59,G11420,G11420
60,G11419,G11419
61,G11426,G11426
62,G11425,G11425
63,G11424,G11424
64,G11359,G11359
65,G11357,G11357
66,G11353,G11353
67,G11355,G11355
68,G11351,G11351
69,G11377,G11377
70,G11376,G11376
71,G11375,G11375
72,G11374,G11374
73,G11199,G11199
74,G11204,G11204
75,G11206,G11206
76,G11205,G11205
77,G11207,G11207
78,850310,G11126
79,G11118,G11118
80,G11119,G11119
81,GG641350,641350
82,GG641351,641351
83,GG679444,679444
84,GG642314,642314
85,GG679443,679443
86,GG676246,676246
87,GG679445,679445
88,G11160,G11160
89,G11159,G11159
90,G11158,G11158
91,G11161,G11161
92,G10930,G10930
93,G11116,G11116
94,G11115,G11115
95,G11114,G11114
96,G11113,G11113
97,G11117,G11117
98,G09632,G09632
99,G09622,G09622
100,GG641349,641349
101,GG559168,559168
102,GG679442,679442
103,GG606122,606122
104,GG678216,678216
105,299657,G11341
106,299656,G11340
107,299655,G11339
108,299654,G11337
109,G10906,G10906
110,G10905,G10905
111,G10907,G10907
112,G10157,NP6200112
113,G09759,NP6193086
114,G10273,NP6231536
115,G10191,NP6249896
116,G10134,NP6247904
117,G08978,NP2735049
118,GG679435,679435
119,GG616139,616139
120,GG642313,642313
121,GG691307,691307
122,GG606121,606121
123,GG679441,679441
124,GG691308,691308
125,GG677219,677219
126,GG678196,678196
127,GG679437,679437
128,GG616138,616138
129,GG642312,642312
130,GG559064,559064
131,G10987,G10987
132,GG679440,679440
133,GG679439,679439
134,GG641061,641061
135,299679,299679
136,299678,299678
137,299677,299677
138,850307,G10802
139,890397,890397
140,890390,890390
141,890383,890383
142,890378,890378
143,890399,890399
144,890392,890392
145,890387,890387
146,890381,890381
147,890398,890398
148,890391,890391
149,890382,890382
150,890380,890380
151,850306,G10803
152,GG679438,679438
153,GG679436,679436
154,G10866,G10866
155,G10902,G10902
156,G10765,G10765
157,G10917,G10917
158,G10912,G10912
159,G09609,G09609
160,GG677112,677112
161,GG679434,679434
162,GG676245,676245
163,GG641348,641348
164,GG679433,679433
165,GG606118,606118
166,GG672053,672053
167,G10843,G10843
168,G08414,G08414
169,G10792,G10792
170,G10791,G10791
171,G10790,G10790
172,G10789,G10789
173,G10795,G10795
174,G10794,G10794
175,G10793,G10793
176,G10636,G10636
177,G10635,G10635
178,G10634,G10634
179,GG557309,557309
180,GG679426,679426
181,GG587114,587114
182,GG679432,679432
183,GG587112,587112
184,GG679423,679423
185,GG641347,641347
186,GG587113,587113
187,GG679427,679427
188,GG679428,679428
189,GG606120,606120
190,GG587106,587106
191,GG616137,616137
192,GG691306,691306
193,GG606117,606117
194,GG587108,587108
195,GG587107,587107
196,GG679425,679425
197,GG679369,679369
198,GG679418,679418
199,GG679410,679410
200,GG672151,672151
201,GG679424,679424
202,GG587111,587111
203,GG587109,587109
204,GG616136,616136
205,GG587110,587110
206,GG679419,679419
207,GG587105,587105
208,GG679417,679417
209,GG679422,679422
210,GG676198,676198
211,GG679429,679429
212,GG679430,679430
213,GG679431,679431
214,G09384,G09384
215,GG481539,481539
216,850304,G10550
217,850302,G10547
218,850301,G10549
219,850303,G10558
220,850300,G10546
221,G10054,G10054
222,850298,G10306
223,850299,G10307
224,850295,G10305
225,G10509,G10509
226,G10508,G10508
227,G09640,G09640
228,G09641,G09641
229,G09639,G09639
230,G09642,G09642
231,G10258,G10258
232,G10257,G10257
233,G09988,G09988
234,G09987,G09987
235,G09983,G09983
236,G10001,G10001
237,G10004,G10004
238,G10003,G10003
239,G10008,G10008
240,G10350,G10350
241,G10349,G10349
242,G10348,G10348
243,850289,G09675
244,850285,G09673
245,850286,G09674
246,GG679056,679056
247,GG642311,642311
248,GG641346,641346
249,GG481719,481719
250,GG481417,481417
251,G10147,G10147
252,GG671289,671289
253,GG676199,676199
254,GG679415,679415
255,GG679416,679416
256,GG678214,678214
257,GG679411,679411
258,GG679400,679400
259,GG679399,679399
260,GG678202,678202
261,GG676236,676236
262,GG676215,676215
263,GG641343,641343
264,GG691305,691305
265,GG691304,691304
266,GG691300,691300
267,GG679398,679398
268,GG678209,678209
269,GG671290,671290
270,GG641345,641345
271,GG559164,559164
272,GG642302,642302
273,GG879108,879108
274,GG642301,642301
275,GG642310,642310
276,GG642309,642309
277,GG642308,642308
278,GG642307,642307
279,GG642306,642306
280,GG679421,679421
281,GG679420,679420
282,GG679409,679409
283,GG679408,679408
284,GG691303,691303
285,G09755,G09755
286,GG679402,679402
287,GG679406,679406
288,GG679405,679405
289,GG642303,642303
290,GG642305,642305
291,GG642304,642304
292,GG641106,641106
293,GG481951,481951
294,GG481810,481810
295,GG192439,192439
296,GG192450,192450
297,GG192448,192448
298,GG192441,192441
299,GG474158,474158
300,GG679054,679054
301,GG679174,679174
302,GG678164,678164
303,GG679366,679366
304,GG679374,679374
305,GG679373,679373
306,GG679379,679379
307,GG679380,679380
308,GG557294,557294
309,GG335109,335109
310,G10088,G10088
311,G09906,G09906
312,BH8002063,2865367
313,BH8002062,1623614
314,GT-521,GT-521
315,GT-520,GT-520
316,GT-519,GT-519
317,GT-518,GT-518
318,G09637,G09637
319,G09636,G09636
320,G09631,G09631
321,G09567,G09567
322,GG616124,616124
323,GG679210,679210
324,G09977,G09977
325,G09976,G09976
326,G09793,G09793
327,G09792,G09792
328,G09791,G09791
329,G09790,G09790
330,G09530,G09530
331,G09531,G09531
332,G09532,G09532
333,G09628,G09628
334,G09625,G09625
335,G09626,G09626
336,GG481785,481785
337,GG676102,676102
338,GG676104,676104
339,GG691272,691272
340,GG185147,185147
341,GG751064,751064
342,GG751062,751062
343,GG751067,751067
344,GG751068,751068
345,GG185170,185170
346,GG641119,641119
347,GG474131,474131
348,GG474197,474197
349,GG691302,691302
350,GG995120,995120
351,GG995119,995119
352,GG995109,995109
353,GG995110,995110
354,G09714,G09714
355,G09951,G09951
356,G09942,G09942
357,G09939,G09939
358,G09936,G09936
359,G09933,G09933
360,G09930,G09930
361,G09948,G09948
362,G09945,G09945
363,G09923,G09923
364,GG679407,679407
365,GG679404,679404
366,GG679403,679403
367,GG679401,679401
368,GG679414,679414
369,GG679413,679413
370,GG679412,679412
371,GG192420,192420
372,G07755,G07755
373,GG679125,679125
374,GG679279,679279
375,GG679117,679117
376,GG641266,641266
377,GG641264,641264
378,GG641265,641265
379,GG641263,641263
380,GG641246,641246
381,GG641174,641174
382,GG641175,641175
383,GG642265,642265
384,GG481469,481469
385,GG481481,481481
386,GG679260,679260
387,GG679261,679261
388,GG679176,679176
389,GG679177,679177
390,GG676124,676124
391,GG676140,676140
392,GG676131,676131
393,GG676135,676135
394,GG676128,676128
395,GG676138,676138
396,GG676193,676193
397,GG676189,676189
398,GG676139,676139
399,GG676130,676130
400,GG676127,676127
401,GG676195,676195
402,GG676132,676132
403,GG676125,676125
404,GG676133,676133
405,GG677170,677170
406,GG677173,677173
407,GG677172,677172
408,GG677171,677171
409,GG642247,642247
410,GG642244,642244
411,GG642246,642246
412,GG677205,677205
413,GG677179,677179
414,GG677175,677175
415,GG677177,677177
416,GG641179,641179
417,GG641053,641053
418,GG671207,671207
419,GG671206,671206
420,GG481969,481969
421,GG481970,481970
422,GG481959,481959
423,GG481964,481964
424,GG641327,641327
425,GG641317,641317
426,GG641328,641328
427,GG481960,481960
428,GG641330,641330
429,GG481948,481948
430,GG481961,481961
431,GG641315,641315
432,GG641324,641324
433,GG641326,641326
434,GG641311,641311
435,GG641314,641314
436,GG641329,641329
437,GG641325,641325
438,GG641323,641323
439,GG641295,641295
440,GG481947,481947
441,GG641310,641310
442,GG641308,641308
443,GG641309,641309
444,GG552101,552101
445,GG751030,751030
446,GG691228,691228
447,GG691270,691270
448,GG691226,691226
449,GG671245,671245
450,GG641189,641189
451,GG641197,641197
452,GG642196,642196
453,GG642168,642168
454,GG642178,642178
455,GG641286,641286
456,GG691278,691278
457,GG691277,691277
458,GG679197,679197
459,GG679186,679186
460,GG679196,679196
461,GG679195,679195
462,GG642145,642145
463,GG481929,481929
464,GG481932,481932
465,GG481933,481933
466,GG481927,481927
467,GG641177,641177
468,GG641173,641173
469,GG641251,641251
470,GG676158,676158
471,GG676156,676156
472,GG676153,676153
473,GG676155,676155
474,GG676154,676154
475,GG676160,676160
476,GG671180,671180
477,GG671179,671179
478,GG671178,671178
479,GG481649,481649
480,GG691180,691180
481,GG641102,641102
482,GG691179,691179
483,GG641103,641103
484,GG679129,679129
485,GG679135,679135
486,GG679130,679130
487,GG679126,679126
488,GG642191,642191
489,GG642192,642192
490,GG642190,642190
491,GG671218,671218
492,GG671189,671189
493,GG642167,642167
494,GG642181,642181
495,GG642180,642180
496,GG679217,679217
497,GG679220,679220
498,GG679219,679219
499,GG641229,641229
500,GG641230,641230
501,GG641294,641294
502,GG641227,641227
503,GG641238,641238
504,GG641270,641270
505,GG641221,641221
506,GG641239,641239
507,GG641269,641269
508,GG641233,641233
509,GG641226,641226
510,GG641207,641207
511,GG641228,641228
512,GG641219,641219
513,GG641281,641281
514,GG641243,641243
515,GG641271,641271
516,GG641209,641209
517,GG641298,641298
518,GG641224,641224
519,GG641225,641225
520,GG641296,641296
521,GG641272,641272
522,GG641240,641240
523,GG641268,641268
524,GG641232,641232
525,GG641244,641244
526,GG641283,641283
527,GG641282,641282
528,GG641245,641245
529,GG641273,641273
530,GG641231,641231
531,GG641210,641210
532,GG481474,481474
533,GG481496,481496
534,GG481911,481911
535,GG481912,481912
536,GG481628,481628
537,GG751052,751052
538,GG691296,691296
539,GG679343,679343
540,GG679342,679342
541,GG191142,191142
542,GG642268,642268
543,GG642267,642267
544,GG671278,671278
545,GG671279,671279
546,GG642269,642269
547,GG751005,751005
548,GG642229,642229
549,GG642228,642228
550,GG642238,642238
551,GG642226,642226
552,GG642237,642237
553,GG481962,481962
554,GG481974,481974
555,GG481768,481768
556,GG671277,671277
557,GG481585,481585
558,GG481592,481592
559,GG481605,481605
560,GG481604,481604
561,GG481602,481602
562,GG481589,481589
563,GG481596,481596
564,GG481598,481598
565,GG481581,481581
566,GG481567,481567
567,GG481568,481568
568,GG481606,481606
569,GG481603,481603
570,GG481582,481582
571,GG481588,481588
572,GG481590,481590
573,GG481595,481595
574,GG481591,481591
575,GG481610,481610
576,GG481597,481597
577,GG481599,481599
578,GG691263,691263
579,GG691243,691243
580,GG691245,691245
581,GG691253,691253
582,GG481492,481492
583,GG642179,642179
584,GG642185,642185
585,GG642165,642165
586,GG751015,751015
587,GG751035,751035
588,GG481378,481378
589,GG677148,677148
590,GG677146,677146
591,GG642257,642257
592,GG642256,642256
593,GG642259,642259
594,GG642255,642255
595,GG641136,641136
596,GG641275,641275
597,GG641059,641059
598,GG641135,641135
599,GG641131,641131
600,GG691064,691064
601,GG691010,691010
602,GG641280,641280
603,GG641279,641279
604,GG641277,641277
605,GG641288,641288
606,GG641285,641285
607,GG679163,679163
608,GG679160,679160
609,GG679175,679175
610,GG679198,679198
611,GG557127,557127
612,GG557132,557132
613,GG691274,691274
614,GG679180,679180
615,GG679181,679181
616,GG679179,679179
617,GG679182,679182
618,GG691276,691276
619,GG751077,751077
620,GG676163,676163
621,GG481752,481752
622,GG481368,481368
623,GG481674,481674
624,GG481673,481673
625,GG691217,691217
626,GG679205,679205
627,GG679178,679178
628,GG679206,679206
629,GG679203,679203
630,GG642172,642172
631,GG642171,642171
632,GG642170,642170
633,GG691214,691214
634,GG691216,691216
635,GG751048,751048
