E_Equipment Serial Number;E_OEM Nameplate SN
G06655;G06655
299688;299688
299687;299687
299686;299686
299685;299685
299684;299684
GG679447;679447
GG679448;679448
GG671292;671292
GG616150;616150
G10764;G10764
G09447;G09447
G09928;G09928
G10405;G10405
G09950;G09950
G09941;G09941
G09938;G09938
G09935;G09935
G09932;G09932
G09929;G09929
G09947;G09947
G09944;G09944
G09943;G09943
G09931;G09931
G10555;G10555
G10143;G10143
G10554;G10554
G10140;G10140
G09937;G09937
G09934;G09934
G09940;G09940
G10137;G10137
G09949;G09949
G09921;G09921
G09946;G09946
G09966;G09966
G09749;G09749
G09750;G09750
GG641352;641352
GG677102;677102
G11295;G11295
G11293;G11293
G11291;G11291
G07756;G07756
G11447;G11447
G11449;G11449
G11451;G11451
G11445;G11445
G11365;G11365
G11361;G11361
G11347;G11347
G11369;G11369
G11367;G11367
G11363;G11363
G11345;G11345
GG679446;679446
G11423;G11423
G11422;G11422
G11421;G11421
G11420;G11420
G11419;G11419
G11426;G11426
G11425;G11425
G11424;G11424
G11359;G11359
G11357;G11357
G11353;G11353
G11355;G11355
G11351;G11351
G11377;G11377
G11376;G11376
G11375;G11375
G11374;G11374
G11199;G11199
G11204;G11204
G11206;G11206
G11205;G11205
G11207;G11207
850310;G11126
G11118;G11118
G11119;G11119
GG641350;641350
GG641351;641351
GG679444;679444
GG642314;642314
GG679443;679443
GG676246;676246
GG679445;679445
G11160;G11160
G11159;G11159
G11158;G11158
G11161;G11161
G10930;G10930
G11116;G11116
G11115;G11115
G11114;G11114
G11113;G11113
G11117;G11117
G09632;G09632
G09622;G09622
GG641349;641349
GG559168;559168
GG679442;679442
GG606122;606122
GG678216;678216
299657;G11341
299656;G11340
299655;G11339
299654;G11337
G10906;G10906
G10905;G10905
G10907;G10907
G10157;NP6200112
G09759;NP6193086
G10273;NP6231536
G10191;NP6249896
G10134;NP6247904
G08978;NP2735049
GG679435;679435
GG616139;616139
GG642313;642313
GG691307;691307
GG606121;606121
GG679441;679441
GG691308;691308
GG677219;677219
GG678196;678196
GG679437;679437
GG616138;616138
GG642312;642312
GG559064;559064
G10987;G10987
GG679440;679440
GG679439;679439
GG641061;641061
299679;299679
299678;299678
299677;299677
850307;G10802
890397;890397
890390;890390
890383;890383
890378;890378
890399;890399
890392;890392
890387;890387
890381;890381
890398;890398
890391;890391
890382;890382
890380;890380
850306;G10803
GG679438;679438
GG679436;679436
G10866;G10866
G10902;G10902
G10765;G10765
G10917;G10917
G10912;G10912
G09609;G09609
GG677112;677112
GG679434;679434
GG676245;676245
GG641348;641348
GG679433;679433
GG606118;606118
GG672053;672053
G10843;G10843
G08414;G08414
G10792;G10792
G10791;G10791
G10790;G10790
G10789;G10789
